,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,PHONE,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
0,10107,30,95.7,2,2871.0,Shipped,1,2,2003,Motorcycles,95,S10_1678,2125557818,NYC,NY,10022,USA,,Yu,Kwai,Small
1,10121,34,81.35,5,2765.9,Shipped,2,5,2003,Motorcycles,95,S10_1678,26.47.1555,Reims,,51100,France,EMEA,Henriot,Paul,Small
2,10134,41,94.74,2,3884.34,Shipped,3,7,2003,Motorcycles,95,S10_1678,+33 1 46 62 7555,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
3,10145,45,83.26,6,3746.7,Shipped,3,8,2003,Motorcycles,95,S10_1678,6265557265,Pasadena,CA,90003,USA,,Young,Julie,Medium
4,10159,49,100.0,14,5205.27,Shipped,4,10,2003,Motorcycles,95,S10_1678,6505551386,San Francisco,CA,,USA,,Brown,Julie,Medium
5,10168,36,96.66,1,3479.76,Shipped,4,10,2003,Motorcycles,95,S10_1678,6505556809,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
6,10180,29,86.13,9,2497.77,Shipped,4,11,2003,Motorcycles,95,S10_1678,20.16.1555,Lille,,59000,France,EMEA,Rance,Martine,Small
7,10188,48,100.0,1,5512.32,Shipped,4,11,2003,Motorcycles,95,S10_1678,+47 2267 3215,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
8,10201,22,98.57,2,2168.54,Shipped,4,12,2003,Motorcycles,95,S10_1678,6505555787,San Francisco,CA,,USA,,Murphy,Julie,Small
9,10211,41,100.0,14,4708.44,Shipped,1,1,2004,Motorcycles,95,S10_1678,(1) 47.55.6555,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10,10223,37,100.0,1,3965.66,Shipped,1,2,2004,Motorcycles,95,S10_1678,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
11,10237,23,100.0,7,2333.12,Shipped,2,4,2004,Motorcycles,95,S10_1678,2125551500,NYC,NY,10022,USA,,Frick,Michael,Small
12,10251,28,100.0,2,3188.64,Shipped,2,5,2004,Motorcycles,95,S10_1678,2015559350,Newark,NJ,94019,USA,,Brown,William,Medium
13,10263,34,100.0,2,3676.76,Shipped,2,6,2004,Motorcycles,95,S10_1678,2035552570,Bridgewater,CT,97562,USA,,King,Julie,Medium
14,10275,45,92.83,1,4177.35,Shipped,3,7,2004,Motorcycles,95,S10_1678,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
15,10285,36,100.0,6,4099.68,Shipped,3,8,2004,Motorcycles,95,S10_1678,6175558555,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
16,10299,23,100.0,9,2597.39,Shipped,3,9,2004,Motorcycles,95,S10_1678,90-224 8555,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small
17,10309,41,100.0,5,4394.38,Shipped,4,10,2004,Motorcycles,95,S10_1678,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
18,10318,46,94.74,1,4358.04,Shipped,4,11,2004,Motorcycles,95,S10_1678,2155551555,Allentown,PA,70267,USA,,Yu,Kyung,Medium
19,10329,42,100.0,1,4396.14,Shipped,4,11,2004,Motorcycles,95,S10_1678,2125557818,NYC,NY,10022,USA,,Yu,Kwai,Medium
20,10341,41,100.0,9,7737.93,Shipped,4,11,2004,Motorcycles,95,S10_1678,6562-9555,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
