,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,STATUS,PRODUCTCODE,PHONE,CITY,STATE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
0,10107,30,95.7,Shipped,S10_1678,2125557818,NYC,NY,USA,Yu,Kwai,Small
1,10121,34,81.35,Shipped,S10_1678,26.47.1555,Reims,,France,Henriot,Paul,Small
2,10134,41,94.74,Shipped,S10_1678,+33 1 46 62 7555,Paris,,France,Da Cunha,Daniel,Medium
3,10145,45,83.26,Shipped,S10_1678,6265557265,Pasadena,CA,USA,Young,Julie,Medium
4,10159,49,100.0,Shipped,S10_1678,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
5,10168,36,96.66,Shipped,S10_1678,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
6,10180,29,86.13,Shipped,S10_1678,20.16.1555,Lille,,France,Rance,Martine,Small
7,10188,48,100.0,Shipped,S10_1678,+47 2267 3215,Bergen,,Norway,Oeztan,Veysel,Medium
8,10201,22,98.57,Shipped,S10_1678,6505555787,San Francisco,CA,USA,Murphy,Julie,Small
9,10211,41,100.0,Shipped,S10_1678,(1) 47.55.6555,Paris,,France,Perrier,Dominique,Medium
10,10223,37,100.0,Shipped,S10_1678,03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Medium
11,10237,23,100.0,Shipped,S10_1678,2125551500,NYC,NY,USA,Frick,Michael,Small
12,10251,28,100.0,Shipped,S10_1678,2015559350,Newark,NJ,USA,Brown,William,Medium
13,10263,34,100.0,Shipped,S10_1678,2035552570,Bridgewater,CT,USA,King,Julie,Medium
14,10275,45,92.83,Shipped,S10_1678,40.67.8555,Nantes,,France,Labrune,Janine,Medium
15,10285,36,100.0,Shipped,S10_1678,6175558555,Cambridge,MA,USA,Hernandez,Marta,Medium
16,10299,23,100.0,Shipped,S10_1678,90-224 8555,Helsinki,,Finland,Karttunen,Matti,Small
17,10309,41,100.0,Shipped,S10_1678,07-98 9555,Stavern,,Norway,Bergulfsen,Jonas,Medium
18,10318,46,94.74,Shipped,S10_1678,2155551555,Allentown,PA,USA,Yu,Kyung,Medium
19,10329,42,100.0,Shipped,S10_1678,2125557818,NYC,NY,USA,Yu,Kwai,Medium
20,10341,41,100.0,Shipped,S10_1678,6562-9555,Salzburg,,Austria,Pipps,Georg,Large
21,10361,20,72.55,Shipped,S10_1678,+61 2 9495 8555,Chatswood,NSW,Australia,Huxley,Adrian,Small
22,10375,21,34.91,Shipped,S10_1678,40.67.8555,Nantes,,France,Labrune,Janine,Small
23,10388,42,76.36,Shipped,S10_1678,5085552555,New Bedford,MA,USA,Benitez,Violeta,Medium
24,10403,24,100.0,Shipped,S10_1678,(171) 555-2282,Liverpool,,UK,Devon,Elizabeth,Small
25,10417,66,100.0,Disputed,S10_1678,(91) 555 94 44,Madrid,,Spain,Freyre,Diego,Large
26,10103,26,100.0,Shipped,S10_1949,07-98 9555,Stavern,,Norway,Bergulfsen,Jonas,Medium
27,10112,29,100.0,Shipped,S10_1949,0921-12 3555,Lule,,Sweden,Berglund,Christina,Large
28,10126,38,100.0,Shipped,S10_1949,(91) 555 22 82,Madrid,,Spain,Sommer,Mart¡n,Large
29,10140,37,100.0,Shipped,S10_1949,6505556809,Burlingame,CA,USA,Hirano,Juri,Large
30,10150,45,100.0,Shipped,S10_1949,+65 221 7555,Singapore,,Singapore,Natividad,Eric,Large
31,10163,21,100.0,Shipped,S10_1949,2125558493,NYC,NY,USA,Hernandez,Maria,Medium
32,10174,34,100.0,Shipped,S10_1949,61-7-3844-6555,South Brisbane,Queensland,Australia,Calaghan,Tony,Large
33,10183,23,100.0,Shipped,S10_1949,2155554695,Philadelphia,PA,USA,Cervantes,Francisca,Medium
34,10194,42,100.0,Shipped,S10_1949,78.32.5555,Lyon,,France,Saveley,Mary,Large
35,10206,47,100.0,Shipped,S10_1949,(604) 555-3392,Vancouver,BC,Canada,Tannamuri,Yoshi,Large
36,10215,35,100.0,Shipped,S10_1949,3105553722,Burbank,CA,USA,Thompson,Steve,Medium
37,10228,29,100.0,Shipped,S10_1949,6175555555,Cambridge,MA,USA,Tseng,Kyung,Medium
38,10245,34,100.0,Shipped,S10_1949,2035559545,New Haven,CT,USA,Murphy,Leslie,Medium
39,10258,32,100.0,Shipped,S10_1949,+81 3 3584 0555,Minato-ku,Tokyo,Japan,Shimamura,Akiko,Large
40,10270,21,100.0,Shipped,S10_1949,+61 2 9495 8555,Chatswood,NSW,Australia,Huxley,Adrian,Medium
41,10280,34,100.0,Shipped,S10_1949,011-4988555,Torino,,Italy,Accorti,Paolo,Large
42,10291,37,100.0,Shipped,S10_1949,0695-34 6555,Boras,,Sweden,Larsson,Maria,Large
43,10304,47,100.0,Shipped,S10_1949,30.59.8555,Versailles,,France,Tonini,Daniel,Large
44,10312,48,100.0,Shipped,S10_1949,4155551450,San Rafael,CA,USA,Nelson,Valarie,Large
45,10322,40,100.0,Shipped,S10_1949,6035558647,Nashua,NH,USA,Young,Valarie,Medium
46,10333,26,100.0,Shipped,S10_1949,6505555787,San Francisco,CA,USA,Murphy,Julie,Medium
47,10347,30,100.0,Shipped,S10_1949,03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Medium
48,10357,32,100.0,Shipped,S10_1949,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
49,10369,41,100.0,Shipped,S10_1949,6175558555,Brickhaven,MA,USA,Nelson,Allen,Medium
